,Dept,Num,Name,Desc,Reqs
70,AAAS,2000,Introduction to African & African American Studies,This is an Integrative Learning Core (ILC) course that awards general education credit. Dimensions of African & African American thought and practice in contemporary and historical perspective.,No listed prerequisites
71,AAAS,2025,African American Religion,See REL 2025.,No listed prerequisites
72,AAAS,2050,Contemporary Africa,African social and political institutions in transition; challenges of democratization and development in the current international context.,No listed prerequisites
73,AAAS,2410,Black Popular Culture,"Explores participation by black peoples in the creation and critique of popular culture through media such as film, music and television and terms of topics such as representation and sexuality.",No listed prerequisites
74,AAAS,2511,Race Relations,This is an Integrative Learning Core (ILC) course that awards general education credit. See SOCL 2511.,No listed prerequisites
75,AAAS,3024,African Diaspora Intellectual Thought,Survey of critical ideas and theories by select diaspora scholars and writers. Emphasizes the intellectual tensions and deliberations that undergird attempts to theorize and resolve issues involving the status of black people in the world.,No listed prerequisites
76,AAAS,3044,Black Rhetorical Traditions,Survey of the development of black communication styles ranging from the sermonic to the academic. Examining the black world’s most effective verbal and written communicators and the tension between orality and literacy.,No listed prerequisites
77,AAAS,3120,Topics in History of Africa and the African Diaspora,May be taken for a max. of 6 sem. hrs. of credit when topics vary. This course surveys historical moments in the life of African and/or African diaspora peoples.,No listed prerequisites
78,AAAS,3122,Topics in Pre-Colonial Africa,"May be taken for a max. of 6 sem. hrs of credit when topics vary. Surveys African empires and civilizations from ancient times to colonial period. Emphasizes culture, religion and/or political influence and practices.",No listed prerequisites
79,AAAS,3341,African American English,"Also offered as LING 3341. Survey of major issues related to historical and contemporary development of African American speech, focusing on linguistic and social features.",No listed prerequisites
80,AAAS,3425,Black Women in America,"Surveys intersection of race and gender in the U.S. through historical and contemporary lenses, course examines commonalities, differences and struggles that mark black women’s subjectivity.",No listed prerequisites
81,AAAS,3901,Directed Readings and Research in African and African-American Studies,May be taken for a max. of 6 sem. hrs. credit when topics vary. Student must register with a faculty member in the AAAS discipline before registration to select the area of reading or research. Topic must not substitute for regularly offered courses.,No listed prerequisites
82,AAAS,3902,Special Topics in African & African American Studies,May be taken for a max. of 6 semester hrs. credit when topics vary.,No listed prerequisites
83,AAAS,4020,Senior Seminar,Capstone for the minor and concentration; planning and execution of a major research project demonstrating the interdisciplinary processes used by those working in the field of African American studies to develop their arguments and interpretations., permission of instructor
84,AAAS,4124,Studies in African Diaspora Religions,See REL 4124.,No listed prerequisites
85,AAAS,4322,Studies in African Literature,"Also offered as ENGL 4322. May be taken for a max. of 6 sem. hrs. of credit when topics vary. Critical analysis of major figures and texts of fiction, drama and poetry.",No listed prerequisites
86,AAAS,4323,Studies in Caribbean Literature,"Also offered as ENGL 4323. May be taken for a max. of 6 sem. hrs. of credit when topics vary. Critical analysis of major figures and texts of fiction, drama and poetry.",No listed prerequisites
87,AAAS,4400,Religious Thought of Martin Luther King Jr. & Malcolm X,See REL 4400.,No listed prerequisites
88,AAAS,4450,African American Folklore,See ANTH 4450.,No listed prerequisites
89,AAAS,4800,African Americans in Sport,See KIN 4800.,No listed prerequisites
90,AAAS,4900,History of the Civil Rights Movement,Survey of the historic civil rights movement. Focuses on the 1940s through the late 1960s. Connections between the movement and ongoing liberation struggles in the United States.,No listed prerequisites
91,AAAS,7901,African and African American Readings,This course is tailored for graduate students interested in exploring a specific research question related to the experiences of people in Africa and/or throughout the African Diaspora.,No listed prerequisites
92,AGEC,1003,Introduction to Agricultural Business,Offered in Fall. Nature and scope of agribusiness; application of management and marketing concepts to selected agribusiness problems; exploring agribusiness management as a profession.,No listed prerequisites
93,AGEC,2003,Introduction to Agricultural Economics,"This is an Integrative Learning Core (ILC) course that awards general education credit. Offered in Fall/Spring. Role of agriculture in the general economy; economic principles applied to agricultural production, marketing, consumption and policy problems.",No listed prerequisites
94,AGEC,2011,Competitive Practicum,"Practical applications of terminology in microeconomics, macroeconomics, finance, resource economics, statistics, marketing, and management for decision making in Agricultural Economics and Agribusiness.",No listed prerequisites
95,AGEC,2021,Introduction to Organizing and Visualizing Data in Agricultural Business,"Obtaining, structuring, and visualizing secondary and administrative datasets for measuring and modeling the food and fiber supply chain.",No listed prerequisites
96,AGEC,2700,Special Topics in Agricultural Economics and Agribusiness,May be taken for a max. 3 sem. hrs. of credit when topics vary. Foundational topics applied to decision making in the food and fiber supply chain., Permission of department
97,AGEC,3003,Economic Analysis in Agricultural Business,"Applications of graphical, mathematical and computer-based microeconomic analysis to problems in the production and marketing of food and agricultural products.", grade of “C” or above in [AGEC 2003 and ECON 2030] or [ECON 2000 and ECON 2010] or equivalent; grade of “C” or above in MATH 1431 or MATH 1550
98,AGEC,3203,Agricultural Commodity Marketing and Risk Management,Description and analysis of agricultural and interdependent commodity markets within the food and fiber systems of domestic and international markets; enhancing understanding of market structure and risk management on farms and in agribusiness through a simulated futures trading experience where quantitative and qualitative methods are used to manage risk in commodity portfolios.," Grade of “C” or above in AGEC 2003 and ECON 2030, or ECON 2000 and ECON 2010, or equivalent"
99,AGEC,3303,Farm Management,Fundamental economic and business principles applied to a farm business; comprehensive and integrated treatment of management concepts for successful operation of a farm business., AGEC 2003 or equivalent
100,AGEC,3413,Agricultural Business Management Decisions,"Identification of typical decisions of agricultural business firms; development of concepts, procedures and analyses that facilitate planning, organizing, directing, coordinating and controlling functions within agricultural business firms.", grade of “C” or above in AGEC 2003 and ECON 2030 or ECON 2000 and ECON 2010 or equivalent
101,AGEC,3503,Natural Resource Economics,"Economic rationale for collective, public action in allocation of natural resources in agriculture; emphasis on economic efficiency, property rights, resource use, legal concepts, institutions and project evaluation.", AGEC 2003 or ECON 2030 or equivalent
102,AGEC,3700,Internship,May be taken for a max. of 3 sem. hrs. of credit. Supervised career-oriented experience with a business or organization in the food and fiber system., AGEC 2003 or equivalent and approval of department head
103,AGEC,3803,Agricultural Law,"Offered in Fall Odd. Principles of law and their application to agricultural business firms and institutions; legal processes and relationships relevant to agriculture; Louisiana Civil Code and statutes; federal law, including bankruptcy code; analysis and review of cases, documents and processes.",No listed prerequisites
104,AGEC,4203,Intermediate Food and Fiber Products Marketing,"Industrial organization analysis applied to the food and fiber system; emphasis on structural problems and their control by competition, antitrust and government.", AGEC 3003 or equivalent
105,AGEC,4243,Food Products Marketing,"An overview of the food marketing system; marketing, management, and economic principles as applied to branded food products; formulation and implementation of marketing plans for branded food products."," Grade of “C” or above in AGEC 2003 and ECON 2030, or ECON 2000 and ECON 2010; MKT 3401"
106,AGEC,4273,Agricultural Price Analysis,"Economic processes of price discovery and price determination in agricultural input and output markets; emphasis on methods of price analysis and their application to decision processes; analysis of cyclical, trend and seasonal movements in prices.", grade of “C” or above in [AGEC 2003 and ECON 2030] or [ECON 2000 and ECON 2010] or equivalent; MATH 1431 or MATH 1550; and EXST 2201 or ISDS 2001
107,AGEC,4403,Agricultural Finance,"Capital acquisition and use in the agricultural sector; cost and availability of credit; emphasis on financial management concepts for managing growth, leverage, liquidity, risk and capital investment in agricultural business."," grade of “C” or above in ACCT 2000 or ACCT 2001 or equivalent; grade of “C” or above in AGEC 2003 and ECON 2030, or ECON 2000 and ECON 2010 or equivalent"
108,AGEC,4433,"Agricultural Business Planning, Management and Policy","Integration of management, marketing and financial concepts for successful planning and implementation of agricultural business decisions; feasibility analysis, marketing policy, personnel policy, marketing mix, pricing decisions, market segmentation, marketing strategy and financial policy."," senior standing; AGEC 3003,AGEC 3203, AGEC 3413; MKT 3401; MGT 3200; and BLAW 3200 or BLAW 3201"
109,AGEC,4443,Farm and Rural Land Appraisal,"Not for graduate AGEC degree credit. Theory, methods and procedures of real estate appraisal applied to rural property; trends in rural real estate values; factors influencing rural real estate values; approaches used in rural real estate valuation.", AGEC 2003 or equivalent
110,AGEC,4545,Sustainable Agriculture,See HORT 4545.,No listed prerequisites
111,AGEC,4603,Agricultural Policy,Role of agriculture in the national economy; how agricultural policy decisions affect the general public; emphasis on economic impacts of policies on producers and consumers of agricultural products; effects of other nations’ policies on American agriculture.," grade of “C” or above in AGEC 2003 and ECON 2030, or ECON 2000 and ECON 2010 or equivalent"
112,AGEC,4613,Agricultural Trade,"Structure, trade and practices in exporting and importing regions and nations; policies of major agricultural trading nations and institutions; aid, development relationships and current development trade policy.", AGEC 3003 or equivalent
113,AGEC,4623,Rural Resource and Community Development,Characteristics of developed and undeveloped rural areas; analysis of economic and related problems and potential for development; public policy issues concerning rural development., AGEC 3003 or permission of instructor
114,AGEC,4700,Problems in Agricultural Economics,May be taken for a max. of 6 sem. hrs. of credit when topics vary. Can be taken for graduate credit. Independent study under the direction of a faculty member or faculty committee., approval of department head
115,AGEC,7047,Environmental Economics and Policy,See ENVS 7047.,No listed prerequisites
116,AGEC,7103,Advanced Statistical Methods in Agriculture,"Offered in Spring. Application of advanced statistical tools to problems in agricultural economics; emphasis on the general linear model, including diagnostics, applications and interpretation.",No listed prerequisites
117,AGEC,7113,Agribusiness Research Applications,"Offered in Fall. Introduction to and overview of agribusiness research strategies; design of agribusiness research projects; preparation for data collection; collection of evidence; analysis of evidence; composition of research reports; applications to agribusiness market analysis, agribusiness planning and management, and agribusiness forecasting.",No listed prerequisites
118,AGEC,7123,Operations Research Methods in Agricultural Economics,"Offered in Fall. Application of operations research methods to economic problems in agricultural production, marketing, and resource use; linear and nonlinear programming; integer programming; network analysis; dynamic programming; queuing; simulation.",No listed prerequisites
119,AGEC,7203,Advanced Agricultural Marketing Theory,Basic and applied analytical procedures in marketing research emphasizing quantitative methods; firm theory applied to marketing., ECON 7701 or concurrent enrollment
120,AGEC,7213,Applied Demand for Food Commodities,"Offered in Spring Odd. Examination of demand for food commodities from analytical and empirical perspectives; emphasis on economic principles that, combined with proper analytical techniques, enable students to derive theoretically-based demand systems for various components of the food and related marketing sectors.",No listed prerequisites
121,AGEC,7303,Agricultural Production Economics,"Production principles applied to use of agricultural resources; analysis and interpretation of research data; theory of the farm firm, including costs, uncertainty and expectations.", ECON 7701 or concurrent enrollment
122,AGEC,7313,Agricultural Production and Labor Supply,Offered in Fall Odd. Labor supply decisions and empirical analysis for agricultural operators and other self-employed and wage-earning households; multiple job holding; resource allocation in productive farm households; human capital formation by households and firms. Implications for household income and welfare; applications to problems in rural areas of developing and developed countries.,No listed prerequisites
123,AGEC,7513,Dynamics in Natural Resource Economics,Dynamic economic concepts in evaluating natural resource problems; economically optimal usage of renewable and non-renewable natural resources., AGEC 7047 or ENVS 7047 or concurrent enrollment
124,AGEC,7523,Nonmarket Valuation Methods in Agriculture and Natural Resources,"Economic concepts and methods of nonmarket valuation applied to agricultural and natural resource economics; contingent valuation, hedonic pricing, travel cost, conjoint analysis and contingent ranking, and benefit transfer.", AGEC 7047 or ENVS 7047 or concurrent enrollment
125,AGEC,7603,Advanced Agricultural Policy,"Development of agricultural policy; emphasis on objectives, procedures, accomplishments and consequences of policy on agriculture and rural areas.", ECON 7701 or concurrent enrollment
126,AGEC,7613,International Agricultural Trade,International economic trade theory; special reference to trade in agricultural products., ECON 7701 or concurrent enrollment
127,AGEC,7623,Rural Development Economics,Theoretical concepts in international and domestic rural development; empirical methods used in analysis of economic structure and growth; modeling public policy issues concerning international and domestic rural development., ECON 7610
128,AGEC,7700,Internship in Agribusiness Administration,"Pass/fail grading based on a written evaluation by the professional supervisor, a written report by the student and the faculty member’s evaluation. May be taken for a max. of 3 hrs. credit. Open only to agricultural economics master’s students. 300 hrs. of learning experience. General supervision by a faculty member; direct supervision by an agribusiness professional.", prior approval of student’s graduate committee
129,AGEC,7703,Independent Study,May be taken for a max. of 6 sem. hrs. when topics vary. Independent study of relevant subject matter areas in agricultural economics., graduate committee approval prior to enrollment
130,AGEC,7710,Advanced Topics in Agricultural Economics,May be taken for a max. of 6 hrs. of credit when topics vary. New and specialized topics in agricultural economics., consent of instructor
131,AGEC,8000,Thesis Research,Offered in Variable. “S”/”U”grading.,No listed prerequisites
132,AGEC,9000,Dissertation Research,Offered in Variable. “S”/”U”grading.,No listed prerequisites
133,AEEE,1001,"Learning Leadership in Agricultural Sciences, Natural Resources, and Extension","Leadership as it relates to agricultural sciences, natural resources, and extension; approaches diversity of leadership through social sciences, management, and popular culture.",No listed prerequisites
134,AEEE,1002,"Developing Professional Confidence: Passion, Purpose and Planning","Areas related to professional career preparation. Topics include: presentation skills, resumé and portfolio development, and interview skills. Emphasis placed on preparing students for careers in the agricultural industry and extension.", Enrollment in this course is limited to students in the College of Agriculture or by permission of department
135,AEEE,2001,Foundations of Agricultural & Extension Education,"2 hrs. lecture; 2 hrs. lab. Foundation of the economic, sociological and political influences on the historical development of agricultural and extension education; organization and delivery of agricultural and extension education programs and practices at the secondary and post-secondary levels.",No listed prerequisites
136,AEEE,2002,Coaching and Contest in Agricultural and Extension Education,"The role that career development events and contests play in agricultural and extension programs. Topics include: competition and cooperation, winning and losing, ethics, use of community resources, and academic and employability skills taught through contests; coaching as a teaching method; assisting with the coordination of carious career development events.",No listed prerequisites
137,AEEE,2003,Introduction to Agricultural Mechanics,"2 hrs. lecture; 2 hrs. lab. Methods and management of school-based agricultural education laboratories; emphasis on safety, agricultural mechanics skill development, and the management of students, facilities, equipment, and materials.",No listed prerequisites
138,AEEE,2004,Introduction to Metals and Welding in Agricultural and Extension Education,"2 hrs. lecture; 3 hrs. lab. Introduction to Shielded Metal Arc Welding (SMAW), Gas Metal Arc Welding (GMAW), and Oxy-fuel welding/cutting. Emphasis on the theoretical foundation of welding, safety, skill development, and management of facilities, materials, and equipment.",No listed prerequisites
139,AEEE,2011,Introduction to Agriculture Communication,"Students will learn the principles and skills necessary to communicate effectively about agricultural issues using visual, oral and written strategies. ",No listed prerequisites
